"","GMUID","Bulls","Cows","Calves","Harvest","Hunters","Success","Days","Season","Year","Percent_Bulls","Percent_Cows","Percent_Calves","Percent_Days"
"1","1",NA,NA,NA,4,9,NA,NA,1,2015,0.427,0.634,0.014,4.206
"2","1",NA,NA,NA,4,20,NA,NA,2,2015,0.206,0.801,0.014,4.567
"3","1",NA,NA,NA,3,14,NA,NA,3,2015,0.138,0.842,0.014,4.605
"4","1",NA,NA,NA,2,7,NA,NA,4,2015,0.164,0.78,0.014,4.318
"5","2",NA,NA,NA,15,42,NA,NA,1,2015,0,0.956,0.044,4.232
"6","2",NA,NA,NA,15,37,NA,NA,2,2015,0,0.966,0.034,4.894
"7","2",NA,NA,NA,16,39,NA,NA,3,2015,0,0.962,0.039,4.997
"8","2",NA,NA,NA,14,37,NA,NA,4,2015,0,0.955,0.045,4.317
"9","201",NA,NA,NA,18,24,NA,NA,1,2015,0,0.93,0.07,3.613
"10","201",NA,NA,NA,19,29,NA,NA,2,2015,0,0.909,0.092,4.103
"11","201",NA,NA,NA,13,21,NA,NA,3,2015,0,0.886,0.115,4.053
"12","201",NA,NA,NA,14,17,NA,NA,4,2015,0,0.884,0.116,3.373
"13","3",NA,NA,NA,66,442,NA,NA,1,2015,0.63,0.377,0.006,3.528
"14","3",NA,NA,NA,63,447,NA,NA,2,2015,0.615,0.387,0.009,4.822
"15","3",NA,NA,NA,66,911,NA,NA,3,2015,0.497,0.418,0.013,4.853
"16","3",NA,NA,NA,59,576,NA,NA,4,2015,0.471,0.443,0.006,3.729
"17","301",NA,NA,NA,68,253,NA,NA,1,2015,1.067,0.024,0,5.424
"18","301",NA,NA,NA,79,338,NA,NA,2,2015,0.949,0.093,0.047,5.808
"19","301",NA,NA,NA,98,463,NA,NA,3,2015,0.667,0.307,0.141,5.042
"20","301",NA,NA,NA,54,291,NA,NA,4,2015,0.521,0.45,0.018,3.031
"21","4",NA,NA,NA,297,748,NA,NA,1,2015,0.598,0.371,0.02,3.553
"22","4",NA,NA,NA,255,1024,NA,NA,2,2015,0.602,0.37,0.018,4.33
"23","4",NA,NA,NA,261,756,NA,NA,3,2015,0.635,0.333,0.018,4.557
"24","4",NA,NA,NA,161,488,NA,NA,4,2015,0.565,0.406,0.027,3.873
"25","441",NA,NA,NA,81,217,NA,NA,1,2015,0.766,0.212,0.031,3.209
"26","441",NA,NA,NA,90,358,NA,NA,2,2015,0.825,0.145,0.023,4.367
"27","441",NA,NA,NA,88,222,NA,NA,3,2015,0.818,0.175,0.016,4.133
"28","441",NA,NA,NA,47,106,NA,NA,4,2015,0.585,0.302,0.027,3.391
"29","5",NA,NA,NA,66,75,NA,NA,1,2015,0.783,0.22,0.018,3.942
"30","5",NA,NA,NA,91,373,NA,NA,2,2015,0.577,0.189,0.032,4.44
"31","5",NA,NA,NA,76,268,NA,NA,3,2015,0.518,0.218,0.043,4.271
"32","5",NA,NA,NA,38,65,NA,NA,4,2015,0.003,0.29,0.042,3.589
"33","6",NA,NA,NA,72,816,NA,NA,1,2015,0.354,0.516,0.083,3.938
"34","6",NA,NA,NA,70,978,NA,NA,2,2015,0.368,0.479,0.081,4.37
"35","6",NA,NA,NA,53,519,NA,NA,3,2015,0.342,0.515,0.079,4.219
"36","6",NA,NA,NA,42,217,NA,NA,4,2015,0.329,0.505,0.076,3.772
"37","7",NA,NA,NA,21,236,NA,NA,1,2015,0.938,0.061,0.002,4.005
"38","7",NA,NA,NA,39,341,NA,NA,2,2015,0.859,0.136,0.008,4.696
"39","7",NA,NA,NA,35,246,NA,NA,3,2015,0.813,0.179,0.016,4.574
"40","7",NA,NA,NA,12,131,NA,NA,4,2015,0.841,0.167,0.01,4.008
"41","8",NA,NA,NA,11,33,NA,NA,1,2015,0.968,0.069,0.008,3.948
"42","8",NA,NA,NA,12,200,NA,NA,2,2015,0.866,0.113,0.007,3.894
"43","8",NA,NA,NA,13,215,NA,NA,3,2015,0.811,0.139,0.007,3.897
"44","8",NA,NA,NA,11,100,NA,NA,4,2015,0.823,0.138,0.007,3.297
"45","9",NA,NA,NA,5,14,NA,NA,1,2015,1,0,0,3.761
"46","9",NA,NA,NA,6,14,NA,NA,2,2015,1,0,0,4.382
"47","9",NA,NA,NA,5,12,NA,NA,3,2015,1,0,0,4.057
"48","9",NA,NA,NA,6,10,NA,NA,4,2015,1,0,0,3.203
"49","10",NA,NA,NA,30,55,NA,NA,1,2015,0.074,0.831,0.067,3.097
"50","10",NA,NA,NA,30,61,NA,NA,2,2015,0.028,0.863,0.069,3.168
"51","10",NA,NA,NA,34,69,NA,NA,3,2015,0.024,0.83,0.081,3.395
"52","10",NA,NA,NA,32,62,NA,NA,4,2015,0.028,0.807,0.092,3.26
"53","11",NA,NA,NA,176,866,NA,NA,1,2015,0.575,0.381,0.051,4.084
"54","11",NA,NA,NA,151,714,NA,NA,2,2015,0.606,0.378,0.042,4.46
"55","11",NA,NA,NA,134,823,NA,NA,3,2015,0.645,0.217,0.045,4.403
"56","11",NA,NA,NA,134,786,NA,NA,4,2015,0.556,0.124,0.058,3.671
"57","211",NA,NA,NA,102,324,NA,NA,1,2015,0.64,0.236,0.021,3.961
"58","211",NA,NA,NA,122,508,NA,NA,2,2015,0.545,0.446,0.019,4.138
"59","211",NA,NA,NA,123,591,NA,NA,3,2015,0.482,0.585,0.023,3.922
"60","211",NA,NA,NA,103,459,NA,NA,4,2015,0.431,0.669,0.039,3.488
"61","12",NA,NA,NA,371,1212,NA,NA,1,2015,0.611,0.412,0.029,3.908
"62","12",NA,NA,NA,325,1252,NA,NA,2,2015,0.469,0.446,0.032,5.246
"63","12",NA,NA,NA,250,951,NA,NA,3,2015,0.377,0.502,-0.03,5.565
"64","12",NA,NA,NA,187,760,NA,NA,4,2015,0.294,0.507,-0.065,4.014
"65","13",NA,NA,NA,70,312,NA,NA,1,2015,0.644,0.315,0.023,3.636
"66","13",NA,NA,NA,112,410,NA,NA,2,2015,0.551,0.319,0.024,4.112
"67","13",NA,NA,NA,172,433,NA,NA,3,2015,0.646,0.319,0.027,4.099
"68","13",NA,NA,NA,129,347,NA,NA,4,2015,0.536,0.337,0.032,3.39
"69","131",NA,NA,NA,41,91,NA,NA,1,2015,0.42,0.506,-0.276,3.468
"70","131",NA,NA,NA,62,294,NA,NA,2,2015,0.431,0.504,-0.149,3.887
"71","131",NA,NA,NA,64,218,NA,NA,3,2015,0.411,0.525,0.076,3.719
"72","131",NA,NA,NA,30,72,NA,NA,4,2015,0.374,0.55,0.191,3.404
"73","231",NA,NA,NA,70,332,NA,NA,1,2015,0.366,0.513,0.061,4.478
"74","231",NA,NA,NA,44,267,NA,NA,2,2015,0.343,0.539,0.057,4.808
"75","231",NA,NA,NA,27,191,NA,NA,3,2015,0.369,0.532,0.034,4.583
"76","231",NA,NA,NA,24,172,NA,NA,4,2015,0.378,0.512,0.029,4
"77","14",NA,NA,NA,41,314,NA,NA,1,2015,0.767,0.148,0.016,4.07
"78","14",NA,NA,NA,57,612,NA,NA,2,2015,0.645,0.262,0.017,4.481
"79","14",NA,NA,NA,49,449,NA,NA,3,2015,0.541,0.362,0.012,4.464
"80","14",NA,NA,NA,32,174,NA,NA,4,2015,0.645,0.293,0.009,4.036
"81","214",NA,NA,NA,32,87,NA,NA,1,2015,0.64,0.336,0.01,3.552
"82","214",NA,NA,NA,51,266,NA,NA,2,2015,0.616,0.362,0.022,3.726
