"Year","Unit","Hunters","Quota","Drawn"
2006,"1",118,115,64
2006,"10",260,270,240
2006,"104",72,200,122
2006,"11",3276,10520,7537
2006,"12",4534,6045,4399
2006,"128",16,60,60
2006,"13",1098,1000,220
2006,"131",657,880,160
2006,"133",5,30,20
2006,"134",15,0,0
2006,"14",1220,1000,844
2006,"140",50,0,0
2006,"141",26,0,0
2006,"142",21,0,0
2006,"15",2594,2480,2024
2006,"16",802,1350,338
2006,"161",1559,2040,955
2006,"17",1183,1375,589
2006,"171",955,1230,477
2006,"18",3257,2665,1430
2006,"181",977,400,174
2006,"19",926,2490,669
2006,"191",514,1865,251
2006,"2",580,695,569
2006,"20",520,600,450
2006,"201",147,175,174
2006,"21",1924,3040,2115
2006,"211",2620,0,0
2006,"214",596,250,232
2006,"22",2253,2070,1300
2006,"23",3320,0,0
2006,"231",1186,760,631
2006,"24",3285,0,0
2006,"25",1868,40,40
2006,"26",1282,55,55
2006,"27",966,765,251
2006,"28",2098,1680,1338
2006,"29",124,215,215
2006,"3",3316,6775,4114
2006,"30",701,0,0
2006,"301",1475,0,0
2006,"31",716,920,164
2006,"32",647,600,88
2006,"33",2660,2315,1373
2006,"34",1287,1235,454
2006,"35",1207,2395,772
2006,"36",2146,3090,907
2006,"37",946,220,58
2006,"371",556,540,294
2006,"38",437,260,244
2006,"39",428,730,655
2006,"391",56,150,80
2006,"4",3146,1150,1150
2006,"40",198,198,198
2006,"41",811,1730,1730
2006,"411",318,180,82
2006,"42",1746,520,520
2006,"421",1690,600,600
2006,"43",2411,2730,1401
2006,"44",1672,1900,1017
2006,"441",1008,0,0
2006,"444",1298,500,424
2006,"45",934,440,386
2006,"46",309,615,485
2006,"461",65,300,110
2006,"47",658,335,328
2006,"471",142,170,31
2006,"48",463,810,810
2006,"481",566,1210,1210
2006,"49",828,930,930
2006,"5",1200,210,210
2006,"50",586,1260,1260
2006,"500",504,1075,1075
2006,"501",371,760,760
2006,"51",221,470,353
2006,"511",720,380,322
2006,"52",877,355,301
2006,"521",1737,310,310
2006,"53",1481,940,762
2006,"54",2791,2050,1445
2006,"55",3227,2040,2040
2006,"551",1648,750,750
2006,"56",517,965,939
2006,"561",261,530,512
2006,"57",441,775,775
2006,"58",286,0,0
2006,"581",739,675,519
2006,"59",451,550,150
2006,"591",161,0,0
2006,"6",1346,1760,689
2006,"60",231,145,122
2006,"61",1214,1980,1980
2006,"62",3701,2080,2080
2006,"63",889,375,216
2006,"64",542,910,679
2006,"65",1883,1150,524
2006,"66",1608,1840,1840
2006,"67",1662,1840,1840
2006,"68",2388,1675,1346
2006,"681",1350,605,455
2006,"682",48,0,0
2006,"69",171,415,415
2006,"691",75,0,0
2006,"7",1533,7460,2714
2006,"70",2529,1725,1725
2006,"71",2263,1200,1200
2006,"711",2007,1000,977
2006,"72",350,120,58
2006,"73",464,250,250
2006,"74",2232,3000,1598
2006,"741",276,350,166
2006,"75",2265,4350,3574
2006,"751",1322,1200,632
2006,"76",1303,1300,1300
2006,"77",2714,1400,1364
2006,"771",383,0,0
2006,"78",2044,0,0
2006,"79",1459,1690,884
2006,"791",14,0,0
2006,"8",1276,0,0
2006,"80",2886,2475,1909
2006,"81",2801,1270,691
2006,"82",1069,605,335
2006,"83",613,255,255
2006,"84",243,0,0
2006,"85",933,370,304
2006,"851",126,25,25
2006,"86",979,1140,896
2006,"861",169,0,0
2006,"9",61,1000,83
2007,"1",125,135,66
2007,"10",293,310,218
2007,"104",53,200,128
2007,"11",3852,10720,7656
2007,"12",4575,6045,4081
2007,"128",38,110,106
2007,"13",1082,1000,214
2007,"131",724,980,183
2007,"134",13,0,0
2007,"14",1207,1250,989
2007,"140",76,0,0
2007,"141",12,0,0
2007,"142",29,0,0
2007,"15",2371,2480,1810
2007,"16",701,1350,274
2007,"161",1477,2040,905
2007,"17",1055,1375,537
2007,"171",775,1230,373
2007,"18",2557,2350,1381
2007,"181",811,420,153
2007,"19",844,1990,754
2007,"191",454,1425,220
2007,"2",481,635,578
2007,"20",268,315,307
2007,"201",162,180,180
2007,"21",1924,3050,2206
2007,"211",2427,0,0
2007,"214",590,450,160
2007,"22",2415,2035,1451
2007,"23",2836,0,0
2007,"231",956,660,494
2007,"24",3129,0,0
2007,"25",1684,40,40
2007,"26",1064,55,55
2007,"27",880,715,243
2007,"28",1972,1825,1373
2007,"29",102,175,175
2007,"3",3513,7825,4408
2007,"30",822,0,0
2007,"301",1701,0,0
2007,"31",622,700,138
2007,"32",629,360,76
2007,"33",2762,3900,1221
2007,"34",1145,1235,347
2007,"35",1259,1815,800
2007,"36",2042,3200,883
2007,"37",956,220,66
2007,"371",675,575,282
2007,"38",464,225,223
2007,"39",461,730,555
2007,"391",49,150,50
2007,"4",3505,1650,1650
2007,"40",204,248,238
2007,"41",1035,1760,1760
2007,"411",375,180,110
2007,"42",1695,595,595
2007,"421",1440,650,650
2007,"43",2201,2320,1279
2007,"44",1594,2000,1520
2007,"441",986,0,0
2007,"444",1321,940,876
2007,"45",928,760,496
2007,"46",277,615,521
2007,"461",69,300,120
2007,"47",679,695,306
2007,"471",179,180,16
2007,"48",418,810,810
2007,"481",557,1210,1210
2007,"49",794,930,930
2007,"5",1335,410,410
2007,"50",544,1260,1260
2007,"500",510,1075,1075
2007,"501",373,760,760
2007,"51",233,470,394
2007,"511",813,380,313
2007,"52",859,360,360
2007,"521",1817,450,450
2007,"53",1364,925,708
2007,"54",2767,2050,1825
2007,"55",3251,2040,2040
2007,"551",1482,750,750
2007,"56",493,525,435
2007,"561",240,290,262
2007,"57",461,775,751
2007,"58",280,0,0
2007,"581",797,675,592
2007,"59",392,550,206
2007,"591",120,0,0
2007,"6",1363,1760,691
2007,"60",233,145,99
2007,"61",993,1860,1860
2007,"62",3381,1835,1835
2007,"63",860,340,254
2007,"64",596,910,646
2007,"65",1652,1150,397
2007,"66",1665,1890,1888
2007,"67",1712,1925,1925
2007,"68",2005,1040,873
2007,"681",1142,305,233
2007,"682",8,0,0
2007,"69",190,415,415
2007,"691",118,0,0
2007,"7",1525,6160,2526
2007,"70",2475,1815,1815
2007,"71",2333,1200,1200
2007,"711",2219,1000,1000
2007,"72",391,120,82
2007,"73",442,250,250
2007,"74",1887,2400,1575
2007,"741",301,350,164
2007,"75",1897,3510,3186
2007,"751",1167,1000,614
2007,"76",1217,1350,1287
2007,"77",2731,1200,1200
2007,"771",485,0,0
2007,"78",1861,0,0
2007,"79",1519,1745,918
2007,"791",3,0,0
2007,"8",996,0,0
2007,"80",2458,1495,1342
2007,"81",1929,485,320
2007,"82",1041,665,420
2007,"83",414,0,0
2007,"84",195,0,0
2007,"85",1013,370,313
2007,"851",214,25,25
2007,"86",894,840,788
2007,"861",166,0,0
2007,"9",86,900,62
2008,"1",115,135,50
2008,"10",311,310,227
2008,"104",60,200,96
2008,"11",3143,10420,7308
2008,"12",4688,6045,4067
2008,"128",46,110,110
2008,"13",984,800,190
2008,"131",660,760,146
