"Year","Unit","Season","Hunters","Quota","Drawn"
2006,"1","1",13,20,15
2006,"1","2",36,40,20
2006,"1","3",37,25,24
2006,"1","4",32,30,5
2006,"10","1",25,35,35
2006,"10","2",28,25,25
2006,"10","3",47,55,55
2006,"10","4",160,155,125
2006,"104","1",23,30,30
2006,"104","2",20,85,46
2006,"104","3",14,85,46
2006,"104","4",15,0,0
2006,"11","1",594,7000,5950
2006,"11","2",648,300,170
2006,"11","3",1233,800,639
2006,"11","4",801,2420,778
2006,"12","1",1586,0,0
2006,"12","2",1375,2800,1977
2006,"12","3",1038,2800,1977
2006,"12","4",535,445,445
2006,"128","2",16,30,30
2006,"13","1",153,0,0
2006,"13","2",402,500,110
2006,"13","3",416,500,110
2006,"13","4",127,0,0
2006,"131","1",96,0,0
2006,"131","2",340,400,69
2006,"131","3",134,400,69
2006,"131","4",87,80,22
2006,"133","2",5,0,0
2006,"134","2",11,0,0
2006,"134","4",4,0,0
2006,"14","1",259,325,169
2006,"14","2",495,300,300
2006,"14","3",377,300,300
2006,"14","4",89,75,75
2006,"140","1",16,0,0
2006,"140","2",21,0,0
2006,"140","3",6,0,0
2006,"140","4",7,0,0
2006,"141","2",10,0,0
2006,"141","3",10,0,0
2006,"141","4",6,0,0
2006,"142","2",11,0,0
2006,"142","3",6,0,0
2006,"142","4",4,0,0
2006,"15","1",345,400,308
2006,"15","2",1160,1000,818
2006,"15","3",962,1000,818
2006,"15","4",127,80,80
2006,"16","1",167,425,131
2006,"16","2",352,400,82
2006,"16","3",190,400,82
2006,"16","4",93,125,43
2006,"161","1",216,520,174
2006,"161","2",627,650,331
2006,"161","3",536,650,331
2006,"161","4",180,220,119
2006,"17","1",222,360,147
2006,"17","2",535,450,187
2006,"17","3",345,450,187
2006,"17","4",81,115,68
2006,"171","1",160,320,117
2006,"171","2",419,400,155
2006,"171","3",278,400,155
2006,"171","4",98,110,50
2006,"18","1",718,975,612
2006,"18","2",783,260,260
2006,"18","3",969,430,232
2006,"18","4",787,1000,326
2006,"181","1",136,0,0
